,links,dates,titles,content
0,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2022/01/January-6-OSA-NR-LTC-essential-visitors.pdf,"Jan 06, 2022","Statement from Seniors Advocate Isobel Mackenzie on Essential Visitors in Long-Term Care (pdf, 178 KB)","FOR IMMEDIATE RELEASE        NEWS RELEASE January 6, 2022   Every Resident in Long-  Victoria, B.C. B.C. Seniors Advocate, Isobel Mackenzie is asking the Province to declare that every resident in long term care is entitled to designate at least one person as their essential visitor.  While we can all understand the need to limit the number of visitors to long-term care during this latest wave of COVID-19, returning to essential visitors without declaring that every resident is entitled to at least one essential visitor has effectively left the majority of long-term care residents without visits from loved ones, said Mackenzie.  In November 2020, the Office of the Seniors Advocate (OSA) issued the report Staying Apart to Stay Safe: The Impact of Visit Restrictions on Long-Term Care and Assisted Living Survey, which highlighted the impact of visitor restrictions on residents and their family members. In this report, OSA identified that 52% of requests made by residents to designate an essential visitor were denied. The Seniors Advocate issued the recommendation in this report that all residents be provided the opportunity to designate an essential visitor.   To date, no changes have been made to the process for determining if a resident meets the criteria to be designated an essential visitor. The determination is made by the administrator of the care facility on a case-by-case basis. Essentials visits can include, but are not limited to:  Visits for compassionate care, including critical illness, palliative care, hospice care, end of life, and Medical Assistance in Dying  -being, including assistance with feeding, mobility, and personal care  Communication assistance for persons with hearing, visual, speech, cognitive, intellectual or memory impairments  Assistance by designated representatives for persons with disabilities  Visits for supported decision making   receiving phone calls and emails from family members, including spouses, who were advised they could no longer visit their loved one, even though they offer vital support and care. They help to feed their loved one, get them dressed, take them for walks, and keep them engaged. For many residents, these visitors are the only people who can motivate them to engage in any activities, and yet they are not formally recognized as essential,  Current public health orders allow essential visitors to continue to visit if an outbreak is declared at a facility while social visit suspended for the duration of the outbreak. Prior to visiting, all visitors to long-term care facility must be fully vaccinated and rapid antigen tests are administered. are home operators are significantly over-burdened. They need the clarity from the province that every resident is entitled to an essential visitor and be relieved of the staff resources required to manage the essential visitor designation process. As B.C. faces its most prolific wave of this pandemic, care homes need to plan for staff absences of up to 30%, and we know that the care provided to residents by essential visitors can help manage an overburdened care home. I urge the province to empower residents in long-term care to choose a designated essential visitor, as it is only the resident and their families who truly know who is essential to their health and well-being,concluded Mackenzie   Media Contact: OSA Communications P: 250-213-2024  E: osa.comms@gov.bc.ca"
1,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/12/2021-DEC-24-Statement-Cold-Weather.pdf,"Dec 24, 2021","Statement from Seniors Advocate Isobel Mackenzie on Cold Weather Safety (pdf, 116 KB)","Office of the Seniors Advocate Province of British Columbia  1-877-952-3181 www.seniorsadvocatebc.ca  6th Floor, 1405 Douglas Street PO Box 9651 STN PROV GOVT Victoria BC  V8W 9P4  December 24, 2021 Message from the Seniors Advocate  Seniors Advocate Isobel Mackenzie is reminding seniors to stay warm and stay safe as British Columbia faces low temperatures, snow, and freezing rain.  Please stay warm by remaining indoors with proper heating, warm clothing and/or blankets. If venturing outside, take great care while walking as sidewalks may be icy, and wear warm clothes to protect yourself from the cold weather. Please check road conditions before driving and drive with caution and reduce speed to stay safe.  During the cold weather, please check on your elderly family members, friends, and neighbours, especially those living alone. Ensure they have access to food, medication, warm clothes, and other essentials so that they may avoid walking on icy sidewalks or driving on treacherous roads.  And if you are a senior or you know a senior who needs some help with getting groceries, meals or medications, call 211 to connect with local services and supports. Together, we can make sure that seniors stay safe during these harsh winter conditions and have an enjoyable holiday season.  Contact:  Office of the Seniors Advocate info@seniorsadvocatebc.ca 1-877-952-3181  Media contact: Gabrielle Parent gabrielle.parent@gov.bc.ca 250-213-2024"
2,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/12/2021-DEC-22-Statement-Seniors-Advocate.pdf,"Dec 22, 2021","Statement from Seniors Advocate Isobel Mackenzie on Rapid Antigen Tests (pdf, 151 KB)","STATEMENT  FOR IMMEDIATE RELEASE December 22, 2021   Statement from B.C. Seniors Advocate Isobel Mackenzie  British Columbia is currently experiencing a fifth wave of the COVID-19 pandemic fueled by the highly transmissible Omicron variant. In response, public health officials have undertaken several new measures to blunt the potential of this wave to overtake our health care system. These public health restrictions limit the opportunities for transmission and large outbreaks, accelerate the vaccine booster schedule, and expand the provincial testing strategy to include further use of rapid antigen tests to compliment the use of PCR testing. Together, these measures along with the use of masks and the BC Vaccine Card, will hopefully reduce the severity of the fifth wave. I ask every British Columbian to continue to follow the public heath guidelines to protect our vulnerable seniors. While COVID-19 can cause severe illness and death at any age, those aged seventy and older in B.C. have been disproportionately impacted. Since the pandemic began, those aged seventy and older who contracted COVID-19 were 22 times more likely to die than people who were younger, and those aged eighty and older were 44 times more likely to die.   Frail seniors living in long-term care suffered significantly in the first two waves of the pandemic from the virus and visit restrictions. In response, measures to protect our seniors in long term care have been put in place, including mandatory vaccination for staff and visitors, and booster shots for residents and staff. The province has also expanded its rapid testing program for long-term care staff and visitors, providing an additional layer of protection for seniors and their loved ones.  In order to protect the seniors in our communities, as the majority of seniors aged seventy and older still live in their own home, we must limit our exposure to others and keep our circles small during this current wave. In order to allow seniors in the community to safely have contact with loved ones, rapid antigen tests should be available for at-home use to protect this vulnerable population.   Today, I am asking the provincial government to make rapid antigen tests (RAT) available in the community, so that individuals may test themselves prior to visiting their loved ones who are elderly and at highest risk of severe illness. Additionally, I am also asking any members of the public who have secured their own supply of RATs to use them wisely and prioritize usage of the tests for visits with elderly or clinically extremely vulnerable loved ones.  I am also asking that the government, in conjunction with its accelerated booster shot schedule, reduce the current third dose/booster. This change reflects the current reality of British Columbia as we face a pandemic with the highly transmissible Omicron variant.  In the meantime, I strongly encourage everyone to book their third dose/booster shot as soon as possible. Now more than ever, this third shot is critical in our management of the pandemic. And for those who have not yet been vaccinated, I implore you to do so immediately. Vaccines not only protect you, but also those around you and our communities at large.  The past two years have been difficult for everyone, but British Columbians have shown they will do the right thing to protect themselves, their loved ones, and their community. Every day I hear stories of people helping seniors, such as getting groceries or medications and checking in by having a friendly chat. To all those who have lent a hand over this pandemic, I say a profound thank you.  As we near the end of another challenging year, I join so many others in offering my heartfelt thanks to our health care workers. Every front-line worker has my sincere gratitude.  While this is not the holiday season we were all hoping for, if we follow public health guidelines, we can find a way to safely spend time with some of our loved ones. My best wishes for the holiday season to everyone.   Isobel Mackenzie Seniors Advocate Province of British Columbia   Contact: osa.comms@gov.bc.ca 236-478-2026"
3,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/12/LTCD2021-NR.pdf,"Dec 15, 2021","B.C. Seniors Advocate Releases Updated Long-Term Care Directory (pdf, 160 KB)","NEWS RELEASE  FOR IMMEDIATE RELEASE December 15, 2021   B.C. Seniors Advocate Releases Updated Long-Term Care Directory   VICTORIA Seniors Advocate Isobel Mackenzie has released the 2021 update of the Long-Term Care Directory (formerly known as the Long-Term Care Facilities Quick Facts Directory). The Directory provides information on all publicly funded long-term care homes in British Columbia.  As we compare year over year performance, we see continued improvement in direct care hours. However, we also see a troubling trend developing in the use of antipsychotic medications,Mackenzie. The proportion of residents using antipsychotics without a diagnosis of psychosis increased by 8% over the previous year.  decrease in facilities that received one or more inspections in the previous year (73% compared to 83%). However, this is expected to be a COVID-19 specific occurrence as we are   Overall, the directory highlights:  90% of the rooms in long term care are single occupancy, 7% are double occupancy and 4% are multi-bed (3 or more beds) and 77% of residents live in a single room.   32% of residents are totally dependent on staff for their activities of daily living such as toileting, bathing and getting in and out of bed.   50% of residents were assessed as .   The average length of stay in long term care was 2.5 years (900 days), a 7% increase over the previous year, while the median length of stay at 555 days increased by 14%.   On average, care facilities were funded to deliver 3.37 hours of direct care per resident per day and the number of facilities meeting the 3.36 guideline increased from 50% to 83%.   The average food cost increased by 6% (range $5.79-$18.75 per resident/day, average $8.87), while the per diem rate paid to facilities increased by 5% on average (range $206.60-$309.89 per resident/day, average $242.90).   An overall five-year trend of decreased rates of physical, occupational, and recreational therapy continued.   The rate of falls at 13% of residents and pressure ulcers at 2% of residents remained relatively unchanged year over year. Compared to 2019/20, the rate of substantiated complaints per 1,000 beds decreased 25% and the reportable incidents per 100 beds (49.0) decreased by 26% from the previous year. These reductions may be related in large part to the decrease in inspections and the focus on COVID-19 pandemic measures.    The release of the Directory also corresponds with the launch of the new website for the Office of the Seniors Advocate. The new website includes the updated Long-Term Care Directory, featuring an interactive map of all publicly funded long-term care facilities in British Columbia. The interactive map and updated directory include information such as the address, phone number, health authority, room configuration, total number of beds, and quality indicators. This updated directory and webpage will allow seniors, their family members, their caregivers, and key stakeholders to efficiently navigate the long-term care facilities in British Columbia.  -Term Care Directory, seniors and their loved ones will be able to access vital information to help them make informed decisions; and advocates and stakeholders will be able to monitor developing trends and areas of improvement in long-Mackenzie.  The complete Long-Term Care Facilities Directory is available at https://www.seniorsadvocatebc.ca/long-term-care-directory/.  Media contact: Gabrielle Parent osa.comms@gov.bc.ca 236-478-2026"
4,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/12/Hidden-and-Invisible-NR.pdf,"Dec 08, 2021","B.C. Seniors Advocate Calls for Increased Awareness and Better Co-ordination to Combat the Rising Prevalence of Seniors Abuse and Neglect (pdf, 176 KB)","NEWS RELEASE  FOR IMMEDIATE RELEASE December 8, 2021   B.C. Seniors Advocate Calls for Increased Awareness and Better Co-ordination to Combat the Rising Prevalence of Seniors Abuse and Neglect    VICTORIA  Today, Seniors Advocate Isobel Mackenzie released the results of a systemic review of  in a report titled Hidden and Invisible. The report examined current legislative protections, assessed reporting practices, reviewed five years of existing data, consulted with 144 stakeholders in 25 communities throughout B.C., and surveyed over 1500 British Columbians.   The review highlights that reports of abuse and neglect of people 65 and over have increased significantly in the past five years with:  49% increase in report of abuse, neglect and self-neglect to health authorities (Designated Agencies)  69% increase in reports of victims of violent crime to the RCMP  87% increase in reports of physical abuse to the Vancouver Police  49% increase of financial abuse to the Vancouver Police  30% increase in reports of abuse to bc211  tells us that the problem is growing. As the population continues to age, we must ensure our systems for identifying, reporting and reducing seniors abuse and neglect are strong,  The report indicates that 28% of British Columbians report witnessing seniors abuse and neglect, but less than half reported the abuse, mostly because they did not know who to call.   lacking the information and tools they need to ensure quick and effective reporting of the abuse, neglect and self-neglect of our vulnerable seniors,  The report highlights a fragmented system, with many options for a person to report a concern of -neglect. The fragmented system includes seven Designated Agencies with legislated responsibility to respond to protection concerns for vulnerable adults, the police, the Public Guardian and Trustee, the Seniors Abuse and Information Line, and BC211.   tem, we find there are ten or more numbers, that are not well known, that people might call to report an abuse concern. We need to move to a coordinated system similar to what we have for reporting child protection concerns. A system with one phone number that is well known province wide, that people can call if they are concerned a senior is being neglected, abused or is suffering from self-neglectstated Mackenzie. The report also highlighted the need for a centralized tracking and reporting system to better understand patterns and trends over time that will help identify successful intervention strategies.   lect in B.C., and to achieve this we need better data. We cannot effectively fix a problem until it is properly analyzed,commented Mackenzie.   neglect and self-neglect, the report recommends a comprehensive review of the Adult Guardianship Act. There was significant work done in the 1990s to protect vulnerable adults, but we know much more now than we did then. And it is time to apply our learning to update the Act to meet the needs of our cluded Mackenzie.  The report includes five recommendations:  1. Establish provincial standards of practice, policies, and front-line training abuse and neglect 2. Create province-wide public awareness initiatives and training  3. Develop a  4. Ensure consistent data collection, methods, and definitions to record, track and monitor abuse and neglect cases 5. Undertake a full comprehensive review of the Adult Guardianship Act  The complete report is available at https://www.seniorsadvocatebc.ca/osa-reports/hidden-and-invisible-report/.    Media contact: Gabrielle Parent osa.comms@gov.bc.ca 236-478-2026"
5,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/11/booster-doses-for-seniors-NR.pdf,"Nov 22, 2021","Seniors Advocate calls on B.C. seniors to get their booster or third dose as soon as  they are eligible (pdf, 158 KB)","FOR IMMEDIATE RELEASE        NEWS RELEASE November 22, 2021  Seniors Advocate calls on B.C. seniors to get their booster or third dose as soon as they are eligible  Victoria, B.C. B.C. Seniors Advocate, Isobel Mackenzie, is reminding seniors aged 70 or older of the need for a booster, or third dose, of the COVID-19 vaccine.   -19 pandemic is affecting all British Columbians, and our seniors and older adults are among the most vulnerable. The waning protection of the vaccine is based on age, overall health, and the ability to mount an antibody response.  Currently, this places adults aged 70 or older in the community and those in long-term care and assisted living at greater risk. The benefit from a booster or third dose will be most significant for those at greatest risk. Those 70 or older who are registered on the Get Vaccinated provincial registration system will receive an invite to book a booster dose approximately 6 months after their second dose For seniors to receive their booking invitation for the booster or third dose, they must be registered with the Get Vaccinated provincial registration system and their immunization record must be up to date. To register, visit the Get Vaccinated website at gov.bc.ca/getvaccinated. Having the BC Vaccine Card/passport does not mean you are registered with the Get Vaccinated System. The Get Vaccinated phone centre is open seven days a week, 7 am to 7 pm. To ask questions and verify your registration please call 1-833-838-2323.   -term care and assisted living have been offered their third dose and we are now focused on those aged 70 or older who live in the community. registered with the Get Vaccinated system, confirm your information as soon as possibleMackenzie.   If a senior is homebound and unable to get to a vaccine centre, they can receive the vaccine through a home visit from their local health authority.  If a person received their first two doses of the vaccine at home, their health authority will contact them directly to arrange their third shot within the next two weeks if they have not already done so.  If a person needs to be added to the list for a home-based COVID-19 vaccination, they should contact their local health authority.    against the COVID-19 virus. I urge all those who are eligible to book an appointment for their booster or   Media Contact: Gabrielle Parent P: 236-213-2024  E: gabrielle.parent@gov.bc.ca"
6,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/10/Outbreak-Review-NR.pdf,"Oct 06, 2021","Review of COVID-19 Outbreaks in Care Homes in British Columbia (pdf, 214 KB)","NEWS RELEASE  FOR IMMEDIATE RELEASE October 6, 2021   B.C. Seniors Advocate Releases Review of COVD-19 Outbreaks in Care Homes   VICTORIA  Today, Seniors Advocate Isobel Mackenzie released the results of a province-wide review of COVID-19 outbreaks in long-term care and assisted living sites during the first year of the pandemic. The review examined factors that can influence the probability that a site will experience a COVID-19 outbreak and factors that can minimize the number of staff and residents who become infected when an outbreak occurs.   -19 can spread in long-term care and assisted living sites, and we saw the devastating impact of this virus on the older population. , we have tragically lost over 800 residents to COVID-19,This is not just a set of numbers, these are people. Residents and their family members had their lives upended with the trauma of life in long-term care and assisted living during a pandemic, and those who operate and work in these care homes have been deeply affected by the experience.   The review examined 365 outbreaks at 210 sites for the period of March 1, 2020 to February 28, 2021 and found:  84% of outbreaks occurred at sites in the lower mainland  72% of outbreaks were contained to four or fewer cases  75% of outbreaks had no COVID-19 fatalities with an overall case fatality rate of 30%  87% of outbreaks were experienced in Wave 2 (September 2020 to February 2021)  Data collected was used to examine the physical characteristics of each site, the specific characteristics of its residents and staff, and the specifics of each outbreak to identify factors that might have contributed to an outbreak occurring and/or spreading to more staff and residents. In most outbreaks (76%), the first COVID-19 case was a staff member. In 22% of outbreaks, a resident was the first case and there was only one outbreak where the confirmed first case was a visitor. The report identifies that a site was more likely to have a large outbreak:  if the first case was a resident (four times more likely)  if the first case was a nightshift worker (five times more likely)  if the first case was a registered nurse or a licensed practical nurse (1.5 times more likely)  The report also identifies that fast notification of the first case and testing staff within the first 48 hours were more likely to contain an outbreak and 40% of outbreaks that had not tested all staff by the fourth day grew into larger outbreaks. The review analyzed what factors were more common in larger outbreaks and found:  sites that provided fewer days of paid sick leave were more likely to experience a larger outbreaks (while almost all sites provide paid sick leave to staff, the number of days ranged from 2.5 to 18 days per year)  sites with lower levels of registered nurses as a proportion of the direct care hours were more likely to experience large outbreaks  sites that had shared rooms were more likely to experience a larger outbreak  Overall, the probability of experiencing any outbreak (defined as one test-positive case in either staff or residents) was most closely associated with the level of local community transmission of COVID-19.  The review included feedback from over 6,500 staff who reported they were concerned about infecting residents and their own family members, and reported their overall health and wellbeing was compromised by the experience of working through the pandemic. Overtime increased by 63%, with sites that experienced a large outbreak increasing overtime by 178%. A total of 2.3 million hours of overtime was delivered during the year.   As well, site operators experienced significant increases in workloads related to managing staff, families of residents, supplies and health authority officials.  The review highlighted that B.C. performed significantly better than Ontario in Wave 1 likely a result of both lower rates of community transmission and the early protection measures taken in long-term care and assisted living in B.C. In Wave 2, after Ontario adopted the same measures as B.C., the percentage of overall COVID-19 cases in long-term care was the same for the two provinces.   The report includes seven recommendations:  1. Increase paid sick leave for staff 2. Increase the pool of direct care staff  3. Decrease contracting for direct care staff 4. Increase levels of registered nursing staff as a proportion of direct care staff 5. Increase testing scope, timeliness and frequency 6. Eliminate shared rooms 7. Require staff of long-term care to be vaccinated and provide booster shots to residents    The complete report is available at www.seniorsadvocatebc.ca/osa-reports/covid-outbreak-review-report  Media contact: Gabrielle Parent osa.comms@gov.bc.ca 236-478-2026 Backgrounder:    There are 355 long-term care sites (34,899 beds) and 132 assisted living sites (4,954 units) in B.C. covered by public health orders in response to the COVID-19 pandemic.  B.C. has experienced three waves of the COVID-19 pandemic and it is now in a variant-driven fourth wave.  This review examines the first two waves of the COVID-19 pandemic in B.C.   Wave 1 is counted from March 2020 to September 2020 and Wave 2 is counted from September 2020 to March 2021. Unless otherwise specified, data related to COVID-19 case counts, outbreaks and deaths referenced in this report covers the period from March 1, 2020 to February 28, 2021.  The total number of resident deaths in long-term care and assisted living during the reporting period was 782.  Report findings show:  210 sites experienced a COVID-19 outbreaks  48% of sites experienced more than one outbreak  Of 365 outbreaks:  o 87% occurred in long-term care (98% of large outbreaks) and 13% in assist living facilities o 32% of outbreaks included both resident and staff cases o 64% were staff only and 4% were resident only cases o 26 days was the average duration of an outbreak with a range from six days to 107 days o 55% of sites experienced only a small outbreak  The review included the examination of:  65,000 resident (RAI MDS 2.0) assessment records   60,000 incident reports from health authority licensing divisions and the Assisted Living Registrar  6,500 long-term care and assisted living staff survey results  356 long-term care and assisted living site reports with staffing and financial data  373 operator questionnaires completed by site administrators   298 publicly funded long-term care sites direct care hour data   487 Ministry of Health site records for licensed long-term care and registered assisted          living sites   52 in-depth personal interviews with outbreak response leadership at long-term care sites   Over 100 documents including orders, directives, guidance, policies and written responses provided by Public Health, the BC Centre for Disease Control and health authorities   A focus group of physicians who practiced in long-term care during the pandemic"
7,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/10/International-Day-of-Older-Persons-20211001.pdf,"Oct 01, 2021","Seniors Advocate Statement on International Day of Older Persons, October 1, 2021 (pdf, 112 KB)","STATEMENT  FOR IMMEDIATE RELEASE October 1, 2021    VICTORIA  International Day for Older Persons as well as National Seniors Day in Canada.   as a day to recognize older persons, this day has been one of celebration and appreciation for the experience, wisdom, and resilience of our seniors and of those who have lived through and persevered many global challenges.  On the International Day for Older Persons and National Seniors Day, I invite all British Columbians to take the time to celebrate the seniors in our lives and our communities.""  Isobel Mackenzie Seniors Advocate"
8,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/06/World-Elder-Abuse-Awareness-Day-20210615.pdf,"Jun 15, 2021","Seniors Advocate Statement on World Elder Abuse Awareness Day, June 15, 2021 (pdf, 220 KB)","1  STATEMENT FOR IMMEDIATE RELEASE June 15, 2021 World Elder Abuse Awareness Day 2021 Victoria, B.C. World Elder Abuse Awareness Day (WEAAD) is marked each year on June 15th to raise awareness of the effects of abuse and neglect on seniors in our communities and the need for prevention and response to these issues.  It was officially recognized by the United Nations General Assembly in 2011 at the request of the International Network for the Prevention of Elder Abuse (INPEA).  Elder abuse is any act that causes harm to an older person and may be carried out by someone they know and trust, such as a family member or friend. The abuse may be physical, emotional/psychological, sexual, financial and can include mistreatment, neglect and self-neglect.  let us take the time to reflect on how we can help make a difference and take steps in preventing elder abuse and neglect in our communities.  This past year has reminded us all how much we depend on our family, friends and neighbours. By coming together and supporting each other, we can make great progress toward ending elder abuse and neglect.  To mark this important day, communities will be lit in purple to symbolize the need to spread awareness on the prevention of elder abuse and neglect.  Today, I encourage you to wear purple clothing or a purple ribbon to honour WEADD and show your commitment in the support to prevent elder abuse and neglect. Take a picture and post #WEAAD2021 on your social media to help spread awareness. To learn more about elder abuse and how you can help visit: https://www2.gov.bc.ca/gov/content/family-social-supports/seniors/health-safety/protection-from-elder-abuse-and-neglect    Isobel Mackenzie Seniors Advocate Province of British Columbia  www.seniorsadvocatebc.ca 2   BACKGROUNDER Elder abuse and neglect is any action by someone in a relationship of trust, such as a family member (adult child or spouse), friend or caregiver, that results in harm to a senior. The common types of elder abuse include physical, emotional/psychological, sexual, financial, neglect and self-neglect. A senior may experience more than one type of abuse.   1 in 6 people over the age of 60 are victims of elder abuse (World Health Organization)  In Canada, a 2015 study estimated that 7.5% of Canadians 55 and older experienced abuse (Into the Light National Survey on the Mistreatment of Older Canadians, National Initiative for the Care of the Elderly, 2015)  Preventing Elder Abuse and Neglect  Reporting to the Police: If you think a senior is being abused, taken advantage of or neglected, and you believe that the senior is in immediate danger, call the police (9-1-1)  Designated Agencies (Regional Health Authorities) Designated agencies under the Adult Guardianship Act, have a responsibility to investigate reports of suspected abuse or neglect of vulnerable adults and seniors. To report abuse, neglect or self-neglect, whether in a health facility or in the community, of an older adult go to:  https://www2.gov.bc.ca/gov/content/health/about-bc-s-health-care-system/partners/health-authorities/regional-health-authorities  Financial Elder Abuse Information about financial elder abuse and what it looks like can be found in a video by the BC Securities Commission and Office of the Seniors Advocate.  Public Guardian and Trustee If you have concerns about the financial and legal affairs of a vulnerable adult or senior: https://www.trustee.bc.ca/services/services-to-adults/Pages/assessment-and-investigation-services.aspx   Seniors First BC: Seniors Abuse & Information Line (SAIL) SAIL is a safe place for older adults, and those who care about them, to talk to someone about situations where they feel they are being abused or mistreated, or to receive information about elder abuse prevention.  Telephone: 1-866-437-1940 (toll-free) or 604-437-1940         Website: http://seniorsfirstbc.ca/ Seniors Abuse & Information Line (SAIL): TTY: 604-428-3359TTY Teletype for the deaf   Government of BC  Scams and Frauds Website: https://www2.gov.bc.ca/gov/content/family-social-supports/seniors/financial-legal-matters/scams-and-fraud"
9,https://www.seniorsadvocatebc.ca/app/uploads/sites/4/2021/06/Statement-Seniors-Advocate-BC-Seniors-Week-2021.pdf,"Jun 06, 2021","Seniors Advocate Statement on Seniors' Week 2021 (pdf, 71 KB)","Office of the Seniors Advocate Province of British Columbia  1-877-952-3181 www.seniorsadvocatebc.ca  6th Floor, 1405 Douglas Street PO Box 9651 STN PROV GOVT Victoria BC  V8W 9P4   June 6, 2021 Celebrating Seniors Week  June 6 to 12th is Seniors Week in B.C.  This is the time of year when we come together and celebrate the million-plus British Columbians who enrich our province every day with their wisdom, experience, and perspective.  This year, more than ever, we can look to seniors and see hope for the future as we are reminded of the sacrifices they have made and the hardships they have endured over the years.  In every community of B.C., we find a diverse mosaic of active and engaged seniors helping each other and their community.  A growing number of seniors are remaining active in the workplace providing much needed experience, many are devoting hundreds of hours to volunteer activities in their local community and countless others are caring for loved ones whether it be their spouse, grandchild, or lifelong friend.  During this week, let us all take that extra time to thank the seniors in our life for all they have done and all they are still doing; let us draw strength from their resilience and courage.   Isobel Mackenzie Seniors Advocate Province of British Columbia www.seniorsadvocatebc.ca"
