,links,dates,header,body
0,https://www.nanaimobulletin.com/news/lack-of-heat-in-husbands-care-home-has-kelowna-woman-demanding-provincial-action/,"Feb 11, 2022",Lack of heat in husband’s care home has Kelowna woman demanding provincial action,"Lynn Fanelli of Kelowna is angry.Angry that her husband Paul has been living in his room at Spring Valley Care Centre without proper heat for nearly 60 days. Paul became a resident at the centre on Dec. 19 2021 after treatment for cancer at Kelowna General Hospital.“They put in a space heater at that time and looked into the problem with the heating system which I believe was ongoing because the pieces for the units in the room were laying on the floor,” said Fanelli.She contacted the Community Care Facilities Licencing department at Interior Health (IH) which is in part responsible for ensuring regulations are met in licensed child care programs and child/youth and adult long-term care facilities.She and other families later received an email that the heating system was fixed prior to a Zoom meeting between families and Spring Valley management on Jan. 13. Fanelli said she had asked management to remove the space heaters before that meeting.“They didn’t remove the space heaters, because the heating was not fixed,” she said.During the meeting, Fanelli asked what was happening with heating in the building and was told the boiler system was not working but the heat had been restored. But that was not the case according to Fanelli and she asked again for it to be fixed.“They said, at that time, there was no money in the budget for the next year to do any repairs for heating and cooling systems in the building.”Fanelli again went back to IH licencing, and also contacted the Patient Care Quality Office (PCQO) at IH. She then reached out to B.C. Seniors’ Advocate Isobel MacKenzie.“I got a nice email back saying thanks but we’ll add you to the list of problems,” she said.Fanelli added the PCQO has since closed her file because they have no ability to enforce it because of current legislation.Capital News contacted Park Place Seniors Living, which owns Spring Valley, and was provided with a written statement by VP Operations, Kathy Nduwayo:”In December 2021, a concern was brought forward to the management of Spring Valley Care Centre regarding a room where the heating system had just failed. During this period, the Okanagan was experiencing record-breaking cold temperatures that impacted many aging buildings across the health care system and Spring Valley Care Centre was not spared. Due to extreme temperatures, the building’s heating system struggled to keep up with demand in an isolated part of the building.The comfort and safety of Spring Valley’s residents are paramount to all members of our staff. In response to this issue, on-site management immediately implemented an interim solution to bring the temperature up to a more comfortable level in the affected part of the building. Heating system improvements are underway.Multiple options have been provided to alleviate any safety concerns in this matter. All involved regulatory stakeholders were immediately informed and brought in to assist. These stakeholders include Patient Care Quality Office, Kelowna Fire Department, Interior Health Authority, and residential care licensing. Each has indicated they are satisfied with the plan to address the heating issue.We wish to assure all residents, families, and the larger community of our commitment to providing a safe environment and quality care to our residents.”Fanelli has also contacted Kelowna-Lake Country MLA, Norm Letnick for help.“We have communicated via my office,” said Letnick. “I won’t get into the details of a private matter with a constituent, but what I can tell you is the issue was recently forwarded to the health minister. We’ll wait to hear the minister’s response to our correspondence.”Fanelli has started apetitionto mandate senior care home maintenance in B.C.“I want them fined, I want them held accountable, I want full disclosure to all people who have a vested interest in the healthcare of their family members.”Read More:Laid-off Campbell River employees face-off with Island Health directorsRead More:Do we now fully comprehend the extent of care home neglect in Canada?@GaryBarnes109gary.barnes@kelownacapnews.comLike us onFacebookand follow us onTwitterand subscribe to our dailyhttps://www.nanaimobulletin.com/news/lack-of-heat-in-husbands-care-home-has-kelowna-woman-demanding-provincial-action/"
1,https://www.nanaimobulletin.com/news/a-positive-outlook-on-getting-old-could-help-with-aging-b-c-study-says/,"Feb 9, 2022","A positive outlook on getting old could help with aging, B.C. study says","It turns out the old adage “you’re only as old as you feel” has some truth behind it.Newly released findings from a UBC study show that people with better attitudes toward aging are more likely to have positive health outcomes as they get older.Researchers tracked changes in how participants felt about aging in three four-year intervals and looked for measurable changes in health and well-being after each interval. More than 13,000 adults aged 50 and over participated in the study from 2008 to 2018.At the first interval, the researchers recorded initial measures of health and wellbeing. They also captured aging satisfaction through participants’ responses to statements like “things keep getting worse as I get older”, “I am as happy now as I was when I was younger” and “The older I get, the more useless I feel”.At the second interval, they assessed aging satisfaction again.Then for the third interval, researchers measured how health and wellbeing outcomes had changed four years after the second measurement of aging satisfaction.Of the 35 outcomes they measured, 27 had improved in association with improved aging satisfaction four years earlier.Some of those outcomes included all-cause mortality, number of chronic conditions, diabetes, stroke, cancer, heart disease, lung disease, arthritis, physical functioning limitations, cognitive impairment, chronic pain and self-rated health.Participants with the highest aging satisfaction showed a 43 per cent reduced risk of all-cause mortality.At the same time, decreased satisfaction with aging from the first to second intervals was linked to worsening health and wellbeing outcomes.“Prior research has looked at how psychological risk factors like depression and stress might adversely influence health and wellbeing outcomes, but we are interested in factors that might positively influence health and wellbeing outcomes,” said Julia Nakamura, a graduate student in UBC’s department of psychology and first author of the study.“With further research, our findings suggest that interventions to increase aging satisfaction might improve the health and wellbeing of our rapidly growing older adult population.”Nakamura added that interventions could come at both the individual and societal levels. She suggests efforts to combat ageism and stereotypes would be a good first step to improve the way people view aging.“If a person thinks aging is destined to be a negative experience, that might become a self-fulfilling prophecy.”READ MORE:UBC research group launches online toolkit to combat stigma around dementiaREAD MORE:Advocates say lengthy COVID isolation for seniors in care may do more harm than good@SchislerColehttps://www.nanaimobulletin.com/news/a-positive-outlook-on-getting-old-could-help-with-aging-b-c-study-says/"
2,https://www.nanaimobulletin.com/marketplace/would-you-wear-bright-pink-hearing-aids/,"Jan 24, 2022",Would you wear bright pink hearing aids?,"Most hearing aids are small, skin-coloured and subtle. But Hanan Merrill, owner ofNanaimo Hearing Clinic, thinks bright pink, prominent hearing aids might actually change the way our society communicates.“Set aside your knee-jerk response to pink hearing aids, and think about it a little deeper. Many people wear prominent glasses that improve their sight while also making a fashion statement; we’ve all seen people who wear big, bright headphones that cancel noise and act as a status symbol. What if we were proud of our sharper hearing, rather than embarrassed?”Could increased pride in your hearing aids improve your communication?You’ll wear your hearing aids more frequently.You’ll be more assertive in expressing your communication needs.If your hearing aids were bright and prominent, others would know to communicate better with you.“What if your increased pride — and increased ability to communicate — would help others do the same?” Hanan says. “Through conversations about your pink hearing aids, others may begin to change their thinking around the stigma of hearing aids or work harder to accommodate those with reduced hearing.”There are many simple things we can all do to make communication easier: getting a e attention before you begin speaking, moving away from background noise, speaking slowly and clearly without shouting. We can do these things now, but maybe if more people wore pink hearing aids we’d remember to do them more often!Good communication makes good communities“If more people intentionally practiced good communication practices, I think society as a whole might become healthier,” Hanan says.Less stress, isolation and depression due to communication struggles.More deep, valuable conversations, leading to greater understanding between people.A greater appreciation for seniors, who experience hearing loss most frequently but still have a lot to contribute to society.“I’d like to invite people in Nanaimo to consider this idea with me further, and maybe give it a try — and now that I’ve got you thinking, the hearing aids don’t have to be pink, any colour that makes you proud will work!” Hanan says.Nanaimo Hearing Clinicoffers discounts on bright hearing aids, and Hanan will even supply you with some talking points to get the conversation started. Reach out today!To book an appointment with Nanaimo Hearing Clinic, call 250-585-4100 or visitnanaimohearingclinic.com/contact. Find Nanaimo Hearing Clinic at501-5800 Turner Rdin Cactus Club Plaza, Nanaimo.Health and wellnessSeniorshttps://www.nanaimobulletin.com/marketplace/would-you-wear-bright-pink-hearing-aids/"
3,https://www.nanaimobulletin.com/news/advocates-say-lengthy-covid-isolation-for-seniors-in-care-may-do-more-harm-than-good/,"Jan 20, 2022",Advocates say lengthy COVID isolation for seniors in care may do more harm than good,"After 10 days of preventive COVID-19 isolation in her room at a Montreal care facility, Joanne Béland’s 84-year-old mother has more difficulty moving and expressing herself.“My mother, she told me, ’I don’t know if I’ll still be able to walk when I’ve finished my 10 days,’” Béland said in a recent interview, adding that her mother now struggles to get out of a chair.“It’s very difficult for them to maintain their mobility when they’re confined in a room for 10 days.”Béland’s mother, Lorraine, lives at the Ressource de la Montagne, an “intermediate” care facility in Montreal, which offers a higher level of care than a seniors residence but less than a traditional long-term care home.Like in other residential care facilities in the province, residents are required to isolate for 10 days if a worker or another resident on their floor tests positive for COVID-19.Béland, who chairs a committee representing residents at her mother’s facility, said she agrees COVID-19-positive residents should isolate. But she says she worries a 10-day isolation period for others on their floor causes more harm than good.Earlier this week, the users committee at the health authority in west-central Montreal, which runs the facility where Béland’s mother lives, sent a letter to Quebec’s health minister and the seniors minister, calling for the isolation period to be shortened. With high vaccination rates in residential care facilities, and evidence that the Omicron variant causes less serious illness, the physical and mental health impacts of the isolation period are too high, the letter said.“The majority of seniors, they’ve already had their third dose of vaccine, they’re well-vaccinated,” Béland said. “It doesn’t make sense to keep them in this condition, to confine them in their rooms for 10 days.”Béland said she doesn’t think residents who may have been exposed to COVID-19 should be free to move anywhere, but she said residents should at least be able to move around their floors — especially if they test negative.Her mother tested negative twice for COVID-19 during her 10-day preventive isolation, Béland said. “After two negative tests, it seems to me we could give them the chance to leave their rooms.”For doctors who work with elderly patients, whether to reduce the preventive isolation period is a difficult question.Dr. Sophie Zhang, co-president of an organization that represents doctors who work in long-term care facilities, said that while Omicron may be less serious than other mutations like Delta, it can lead to severe illness and death, especially among elderly people who are already sick.“The question is, yes, whether preventive measures are worse than the actual infection,” she said in a recent interview. “It’s kind of tough to answer and I think it becomes kind of an ethical question, rather than a scientific question.”Zhang, who oversees 15 long-term care centres in south-central Montreal, said measures like the isolation period may have to be rethought because of the widespread transmission of COVID-19 in the community.At one facility where she works, an outbreak was declared on Dec. 19 and has not yet ended, as new cases continue to be reported among staff members.“Once there’s an outbreak, we put in place a lot of measures — restrictive measures — on visits, on activities, on mobility within the facility,” she said. “So all that is taking a heavy toll on our patients’ quality of life.”For people who are older and sicker, not moving or moving less can cause loss of muscle mass even after a few days, she said. Reducing the isolation period, implementing more aggressive testing and changing the way outbreaks are defined all need to be considered, Zhang added.Dr. Quoc Dinh Nguyen, a geriatrician and epidemiologist at the Centre hospitalier de l’Université de Montréal, said that especially in larger facilities, residents can have their 10-day isolation periods reset when new cases are reported on their floors.googletag.cmd.push(function() { googletag.display('div-gpt-5');gptRefreshSlots.push(5); });Nguyen said in a recent interview that testing could be used to lift isolation periods sooner. Facilities, he added, could also take into account their specific risk levels and the ability of residents to follow measures. A regional approach may make more sense than a provincewide isolation policy, he added.“We need to worry about the adverse effects of isolation measures,” Nguyen said, adding that he also worries about the impact of relaxing measures too much.“Although I agree that it’s not as severe as it used to be, it’s still severe,” he said about the Omicron variant. “We still need to be careful and we still need to put measures to reduce transmission.”—Jacob Serebrin, The Canadian PressRELATED: B.C. CDC updates COVID isolation time back up to 10 days for unvaccinated adultsCoronavirusSeniorshttps://www.nanaimobulletin.com/news/advocates-say-lengthy-covid-isolation-for-seniors-in-care-may-do-more-harm-than-good/"
4,https://www.nanaimobulletin.com/news/new-canadian-care-home-standards-to-emphasize-fact-that-they-are-homes-not-wards/,"Jan 12, 2022","New Canadian care home standards to emphasize fact that they are homes, not wards","The expert spearheading new draft national standards for long-term care says they must strike a difficult balance between residents’ safety and their quality of life.The pandemic devastated long-term care homes across the country as thousands of residents fell ill and died, and laid bare the deficiencies people in the sector have warned about for years.The federal government requested the new standards in the 2020 throne speech, and CSA Group, previously the Canadian Standards Association, is set to release a draft for public feedback in February.They will be based on consultations with experts, stakeholders and interest groups across the country.Those consultations revealed a tension between infection prevention and the social, emotional and mental well-being of residents, said Alex Mihailidis, chair ofthe technical subcommittee developing the new standards.“We are not designing a hospital, we’re not designing an acute care ward,” Mihailidis said in an interview with The Canadian Press.“We are designing people’s homes and for many of them the last home they’re going to live in.”A report on the CSA Group’s consultations showed many of the policies and procedures employed during the pandemic to protect residents from the virus did so at the expense of their mental and social well-being.Infection prevention specialists from the acute care sector were dispatched to long-term care during the pandemic and sometimes requested changes that limited the residents’ quality of life, the report said.In one example, specialists suggested personal items be removed from the rooms to make them easier to clean and disinfect. But residents’ cherished possessions should instead be considered essential, the report stated.Mihailidis said striking that balance as part of a national set of standards has been tough.The CSA Group standards will touch on everything from the heating, ventilation and air cooling systems and plumbing to the use of technology and infection prevention.While the standards are intended to make sure long-term care centres are safe, he said they will be guided by people-centred care, equity, diversity, and inclusion.Some suggestions that came up during the consultations involved kitchens that residents can use themselves, single-occupancy rooms, dementia-friendly design elements, gender-neutral washrooms, and dining rooms that allow for physical distancing.The standards also need to accommodate homes of all sizes and types all over the country, so they will not be overly prescriptive, he said.They are being developed in conjunction with the Health Standards Organization, which will focus more on the care provided in the homes.It’s not clear how the government plans to enforce the standards once they are finalized and published in December, however.In his mandate letter late last year, Prime Minister Justin Trudeau instructed Health Minister Jean-Yves Duclos to negotiate agreements with provinces and territories to improve the quality and availability of long-term care homes.He also ordered his minister to develop federal legislation to ensure the safety of seniors in long-term care, though the homes fall under provincial jurisdiction.“Really, at the end of the day, we need the buy-in from the provinces and territories,” Mihailidis said.— The Canadian PressRELATED: Loved ones turned away from B.C. senior homes, advocate saysRELATED: Key sectors facing staffing struggles amid escalating pandemicCOVID-19Seniorshttps://www.nanaimobulletin.com/news/new-canadian-care-home-standards-to-emphasize-fact-that-they-are-homes-not-wards/"
5,https://www.nanaimobulletin.com/news/b-c-gives-720k-grant-to-organization-supporting-seniors-at-risk-of-homelessness/,"Dec 20, 2021",B.C. gives $720K grant to organization supporting seniors at risk of homelessness,"The province is giving $720,000 in funding to the SHINE program, which helps seniors find support and housing in B.C.The announcement was made by Mental Health and Addictions Minister Sheila Malcomson in Nanaimo on Monday (Dec. 20).The SHINE program (Seniors Housing Information and Navigation Ease) is led by the Seniors Services Society of BC and “is a province-wide initiative designed to facilitate timely access to and navigation of appropriate housing services and supports for seniors.”Society CEO Alison Silgardo said that the past couple of years have shown the need to help seniors to navigate housing and other supports.“Seniors and Elders in our communities can feel especially isolated at this challenging time,” said Malcolmson.The province said research shows that access to housing and mental-health supports can reduce the risks of addiction and mental health struggles for seniors.@katslepiankatya.slepian@bpdigital.caLike us onFacebookand follow us onTwitter.Seniorshttps://www.nanaimobulletin.com/news/b-c-gives-720k-grant-to-organization-supporting-seniors-at-risk-of-homelessness/"
6,https://www.nanaimobulletin.com/marketplace/help-loved-ones-hear-the-sounds-of-the-season-you-can-be-a-hearing-aid/,"Dec 20, 2021",Help loved ones hear the sounds of the season — you can be a hearing aid!,"The hustle and bustle of holiday parties and family dinners can be a struggle for people with hearing loss. Even loved-ones with hearing aids may struggle to distinguish voices they love from noises they hate. This creates stress, tension, and loneliness, even amongst family and friends.“In my work as a hearing instrument practitioner I work daily with people who have a reduced range of hearing. Often, people are unsure if they really have a hearing loss that needs treating. As I converse with them in my office they’ll say, ‘I hear you just fine!’” says Hanan Merrill, owner ofNanaimo Hearing Clinic. “There are two big reasons for this, and neither have anything to do with the person having good hearing. First, my office is a quiet environment quite unlike most of ‘real life.’ Second, I’m accustomed to speaking to those with hearing loss and attempt to compensate by using many of the tips listed below.”5 ways to help loved ones hear betterAt its most basic level, a hearing aid is anything that helps one’s hearing — not just the fancy electronic ears that Hanan spends his days fitting and servicing.“If you plan to spend time with friends or family that have hearing loss, I encourage you to attempt to BE a hearing aid this holiday season,” he says. “It might just be the best gift this year to someone who struggles to hear, relax, and stay close to those they love.”Be aware: If you notice a loved-one is quiet at a holiday dinner or party, they may be having trouble hearing. You can help bring them back into the conversation, or seek them out for a one-on-one in a quiet corner.Turn down the volume: Background music or the TV can make it hard to hear conversation — turn it down or turn it off while people are chatting.Turn up the lights: Make it easier for those with hearing loss to see facial expressions and the mouths of those speaking. Before you start speaking, get the person’s attention so they can see your face. At the dinner table, consider seating a loved-one with hearing loss at the head of the table where it’s easier for them to see everyone’s faces.Speak clearly, and rephrase if needed: Speak slowly, and project your voice without shouting. Try not to interrupt, as that can make it harder to follow a conversation. If someone asks you to repeat a sentence, try rephrasing as well to offer more information.Be an advocate: Stick close to a loved-one with hearing loss, or seat them next to someone who will be a patient advocate. Some people are just good at being aware of others’ needs and repeating things as necessary.“If your loved one doesn’t have hearing aids or seems to be struggling greatly with the ones that they have, maybe it’s time for a hearing check or hearing aid checkup. You might gently ask them if they have had a hearing check up lately,” Hanan says.For more hearing tips, book an appointment with Nanaimo Hearing Clinic by calling 250-585-4100 or visitnanaimohearingclinic.com/contact. Find Nanaimo Hearing Clinic at501-5800 Turner Rdin Cactus Club Plaza, Nanaimo.Health and wellnessSeniorshttps://www.nanaimobulletin.com/marketplace/help-loved-ones-hear-the-sounds-of-the-season-you-can-be-a-hearing-aid/"
7,https://www.nanaimobulletin.com/news/seniors-advocate-calls-for-reporting-line-for-abuse-and-neglect-amid-rising-reports/,"Dec 8, 2021",Seniors advocate calls for reporting line for abuse and neglect amid rising reports,"British Columbia’s seniors advocate is calling for a provincewide approach for reporting seniors abuse amid complaints that are “significantly rising.”Isobel Mackenzie says there is a clear five-year pattern of increasing reports of seniors abuse and neglect, but the fragmented reporting system suggests the problem could be more widespread.Mackenzie released a report today that says over the past three to five years, there has been a 49 per cent increase in reports of abuse, neglect and self-neglect to designated agencies.It says complaints to RCMP of violent crime rose 69 per cent, while reports to Vancouver police of physical abuse was up 87 per cent and financial abuse up by 49 per cent.Among her recommendations, Mackenzie says a review of the Adult Guardianship Act should consider the need to legally report suspected abuse of vulnerable adults, similar to an existing legal requirement to report child abuse.It also calls for the implementation of a central contact with one phone number to call about concerns, to be managed by professionals trained in adult protection.The fragmented reporting system means data is unreliable and it’s difficult to assess patterns, identify gaps, make improvements and measure progress, the report says.“The challenge is that the system is not reliably effective and many vulnerable seniors may be falling through the cracks,” it says.The Adult Guardianship Act is largely responsible for protecting vulnerable seniors beyond the police protection offered under the Criminal Code.The report says when the legislation was introduced 20 years ago, there were no provincial guidelines or standards followed, leaving a patchwork of implementation across health authorities and other organizations.It recommends that provincial standards and front-line training be developed, that there be a provincewide public awareness campaign and consistent data collection, and that methods and definitions be developed to monitor cases.—The Canadian PressRELATED: Seniors’ advocate wonders if fines would help end crisis in care homesSeniorshttps://www.nanaimobulletin.com/news/seniors-advocate-calls-for-reporting-line-for-abuse-and-neglect-amid-rising-reports/"
8,https://www.nanaimobulletin.com/marketplace/how-to-be-a-hearing-aid-to-those-you-love-this-holiday-season/,"Nov 22, 2021",How to be a hearing aid to those you love this holiday season,"The holiday season is fast approaching and with it comes added stress and loneliness for some of our loved ones. The reason? Hearing loss.The hustle and bustle of parties and family dinners can be a struggle for people with hearing loss. Even loved-ones with hearing aids may struggle to distinguish voices they love from noises they hate. This creates stress, tension, and loneliness, even amongst family and friends.“In my work as a hearing instrument practitioner I work daily with people who have a reduced range of hearing. Often, people are unsure if they really have a hearing loss that needs treating. As I converse with them in my office they’ll say, ‘I hear you just fine!’” says Hanan Merrill, owner ofNanaimo Hearing Clinic. “There are two big reasons for this, and neither have anything to do with the person having good hearing. First, my office is a quiet environment quite unlike most of ‘real life.’ Second, I’m accustomed to speaking to those with hearing loss and attempt to compensate by using many of the tips listed below.”5 ways to help loved ones hear betterAt its most basic level, a hearing aid is anything that helps one’s hearing — not just the fancy electronic ears that Hanan spends his days fitting and servicing.“If you plan to spend time with friends or family that have hearing loss, I encourage you to attempt to BE a hearing aid this holiday season,” he says. “It might just be the best gift this year to someone who struggles to hear, relax, and stay close to those they love.”Be aware: If you notice a loved-one is quiet at a holiday dinner or party, they may be having trouble hearing. You can help bring them back into the conversation, or seek them out for a one-on-one in a quiet corner.Turn down the volume: Background music or the TV can make it hard to hear conversation — turn it down or turn it off while people are chatting.Turn up the lights: Make it easier for those with hearing loss to see facial expressions and the mouths of those speaking. Before you start speaking, get the person’s attention so they can see your face. At the dinner table, consider seating a loved-one with hearing loss at the head of the table where it’s easier for them to see everyone’s faces.Speak clearly, and rephrase if needed: Speak slowly, and project your voice without shouting. Try not to interrupt, as that can make it harder to follow a conversation. If someone asks you to repeat a sentence, try rephrasing as well to offer more information.Be an advocate: Stick close to a loved-one with hearing loss, or seat them next to someone who will be a patient advocate. Some people are just good at being aware of others’ needs and repeating things as necessary.“If your loved one doesn’t have hearing aids or seems to be struggling greatly with the ones that they have, maybe it’s time for a hearing check or hearing aid checkup. You might gently ask them if they have had a hearing check up lately,” Hanan says.For more hearing tips, book an appointment with Nanaimo Hearing Clinic by calling 250-585-4100 or visitnanaimohearingclinic.com/contact. Find Nanaimo Hearing Clinic at501-5800 Turner Rdin Cactus Club Plaza, Nanaimo.Health and wellnessSeniorshttps://www.nanaimobulletin.com/marketplace/how-to-be-a-hearing-aid-to-those-you-love-this-holiday-season/"
9,https://www.nanaimobulletin.com/marketplace/is-senior-living-too-expensive-lets-do-the-math/,"Nov 8, 2021",Is senior living too expensive? Let’s do the math,"“Can I afford it?” It’s one of the most common questions Kristine Newman answers when she’s giving tours ofBerwick on the Lake, a retirement community on Long Lake in Nanaimo.“I understand people’s hesitation — it’s a stunning location and we offer so many services, many people assume it’s outside their budget. But the monthly rent here is actually very affordable when you consider everything that’s included.”6 ways you’ll save when living at Berwick on the LakeFine dining:At Berwick on the Lake,nutritious meals prepared by Red Seal Chefs are included in your rent. That means you won’t have to spend any money on groceries, frozen meals, take-out or meal delivery. Residents at Berwick have the flexibility to dine where and when they want, and even take meals to-go, and you never have to worry about doing the dishes!Wellness:If you’re currently signed up for yoga at a local studio, spin class at the recreation centre or have a monthly gym membership, those costs are allincluded in your rent at Berwick. Drop by the private fitness studio on your own schedule or take part in an instructor-led class to develop new skills and share laughs with friends. Recreation professionals are available full time to nurture your physical and social wellness, and there are plenty of ways to engage in arts as well.Chauffeur:Once you’ve moved into Berwick on the Lake, you’ll have access to theBerwick Bus and Berwick About Town Carfor scheduled group and individual trips. No more paying taxi fare for medical appointments or other errands!Housekeeping:Hiring a maid is often the first service older adults engage when looking for more free time or are tired of scrubbing toilets! At Berwick on the Lake, weekly housekeeping and fresh linens are included in your rent. And if you needenhanced supportin the future, it’s easy to add extra care including personal laundry, medication monitoring or personal care.Utilities:Basic cable, internet, heat and electricity are all included in your monthly rent at Berwick on the Lake. If you’re downsizing from a house, that can mean significant savings. You’ll also enjoy the benefits of 24/7 security and an emergency response system to give you peace of mind.Community:You can’t put a price on good neighbours! Living in community with like-minded people who are eager to connect, engage and lend a hand is truly priceless.Staff and residents ofBerwick on the Lakeare always happy and proud to show off their home. If you’re interested in a visit, please contact Kristine, the Community Relations Manager, at 250-729-7995. To follow along with the latest adventures from community members, visitinstagram.com/berwick.lake.Seniorsseniors housinghttps://www.nanaimobulletin.com/marketplace/is-senior-living-too-expensive-lets-do-the-math/"
